commodity_id,date,open,close,high,low,volume
1,2023-11-27 00:00:00-05:00,2011.699951171875,2011.800048828125,2011.800048828125,2011.699951171875,228.0
1,2023-11-28 00:00:00-05:00,2040.5999755859375,2039.699951171875,2042.699951171875,2039.699951171875,174665.0
1,2023-11-29 00:00:00-05:00,2041.699951171875,2047.0999755859375,2052.10009765625,2036.0,15290.0
1,2023-11-30 00:00:00-05:00,2046.0999755859375,2038.0999755859375,2047.0999755859375,2033.0999755859375,2506.0
1,2023-12-01 00:00:00-05:00,2038.300048828125,2071.0,2073.199951171875,2036.0,614.0
1,2023-12-04 00:00:00-05:00,2075.300048828125,2024.0999755859375,2130.199951171875,2021.0,1071.0
1,2023-12-05 00:00:00-05:00,2035.0999755859375,2018.5,2037.0,2010.199951171875,289.0
1,2023-12-06 00:00:00-05:00,2019.9000244140625,2030.5,2035.800048828125,2019.0,417.0
1,2023-12-07 00:00:00-05:00,2029.199951171875,2029.9000244140625,2034.9000244140625,2024.0,67.0
1,2023-12-08 00:00:00-05:00,2031.699951171875,1998.300048828125,2033.0999755859375,1995.0,449.0
1,2023-12-11 00:00:00-05:00,2004.0999755859375,1978.0,2004.199951171875,1977.199951171875,651.0
1,2023-12-12 00:00:00-05:00,1984.199951171875,1977.800048828125,1994.199951171875,1977.800048828125,95.0
1,2023-12-13 00:00:00-05:00,1978.5,1982.300048828125,2024.800048828125,1975.0,2252.0
1,2023-12-14 00:00:00-05:00,2024.699951171875,2030.199951171875,2040.0999755859375,2024.300048828125,236.0
1,2023-12-15 00:00:00-05:00,2032.5999755859375,2021.0999755859375,2043.4000244140625,2018.300048828125,261.0
1,2023-12-18 00:00:00-05:00,2024.300048828125,2026.300048828125,2032.800048828125,2024.0,100.0
1,2023-12-19 00:00:00-05:00,2025.199951171875,2038.4000244140625,2042.699951171875,2025.199951171875,498.0
1,2023-12-20 00:00:00-05:00,2037.0999755859375,2034.5,2037.0999755859375,2030.300048828125,258.0
1,2023-12-21 00:00:00-05:00,2035.800048828125,2039.0999755859375,2044.5,2033.0,228.0
1,2023-12-22 00:00:00-05:00,2055.699951171875,2057.10009765625,2068.699951171875,2052.199951171875,202.0
1,2023-12-26 00:00:00-05:00,2060.0,2058.199951171875,2060.800048828125,2054.199951171875,64.0
1,2023-12-27 00:00:00-05:00,2067.300048828125,2081.89990234375,2081.89990234375,2064.800048828125,586.0
